comision_nombre,comision_codigo,id_reunion,fecha,anio,texto,url,fecha_extraccion
ASUNTOS CONSTITUCIONALES,caconstitucionales,10956,18/10/2022,2022,Parte de la reunión del 18/10/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10956&fecha=18/10/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10946,11/10/2022,2022,Parte de la reunión del 11/10/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10946&fecha=11/10/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10940,05/10/2022,2022,Parte de la reunión del 05/10/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10940&fecha=05/10/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10930,28/09/2022,2022,Parte de la reunión del 28/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10930&fecha=28/09/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10917,21/09/2022,2022,Parte de la reunión del 21/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10917&fecha=21/09/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10823,22/06/2022,2022,Parte de la reunión del 22/06/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10823&fecha=22/06/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10794,31/05/2022,2022,Parte de la reunión del 31/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10794&fecha=31/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10795,31/05/2022,2022,Parte de la reunión del 31/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10795&fecha=31/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10785,24/05/2022,2022,Parte de la reunión del 24/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10785&fecha=24/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10783,24/05/2022,2022,Parte de la reunión del 24/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10783&fecha=24/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10774,17/05/2022,2022,Parte de la reunión del 17/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10774&fecha=17/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10775,17/05/2022,2022,Parte de la reunión del 17/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10775&fecha=17/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10762,11/05/2022,2022,Parte de la reunión del 11/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10762&fecha=11/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10765,11/05/2022,2022,Parte de la reunión del 11/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10765&fecha=11/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,10753,10/05/2022,2022,Parte de la reunión del 10/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=10753&fecha=10/05/2022,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11236,07/11/2023,2023,Parte de la reunión del 07/11/2023,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11236&fecha=07/11/2023,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11190,23/08/2023,2023,Parte de la reunión del 23/08/2023,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11190&fecha=23/08/2023,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11184,02/08/2023,2023,Parte de la reunión del 02/08/2023,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11184&fecha=02/08/2023,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11617,30/10/2024,2024,Parte de la reunión del 30/10/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11617&fecha=30/10/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11598,23/10/2024,2024,Parte de la reunión del 23/10/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11598&fecha=23/10/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11590,16/10/2024,2024,Parte de la reunión del 16/10/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11590&fecha=16/10/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11582,15/10/2024,2024,Parte de la reunión del 15/10/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11582&fecha=15/10/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11566,08/10/2024,2024,Parte de la reunión del 08/10/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11566&fecha=08/10/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11560,30/09/2024,2024,Parte de la reunión del 30/09/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11560&fecha=30/09/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11653,17/09/2024,2024,Parte de la reunión del 17/09/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11653&fecha=17/09/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11541,17/09/2024,2024,Parte de la reunión del 17/09/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11541&fecha=17/09/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11517,03/09/2024,2024,Parte de la reunión del 03/09/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11517&fecha=03/09/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11489,20/08/2024,2024,Parte de la reunión del 20/08/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11489&fecha=20/08/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11477,13/08/2024,2024,Parte de la reunión del 13/08/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11477&fecha=13/08/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11461,06/08/2024,2024,Parte de la reunión del 06/08/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11461&fecha=06/08/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11462,06/08/2024,2024,Parte de la reunión del 06/08/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11462&fecha=06/08/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11408,25/06/2024,2024,Parte de la reunión del 25/06/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11408&fecha=25/06/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11410,25/06/2024,2024,Parte de la reunión del 25/06/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11410&fecha=25/06/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11320,25/04/2024,2024,Parte de la reunión del 25/04/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11320&fecha=25/04/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11259,23/01/2024,2024,Parte de la reunión del 23/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11259&fecha=23/01/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11257,17/01/2024,2024,Parte de la reunión del 17/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11257&fecha=17/01/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11258,16/01/2024,2024,Parte de la reunión del 16/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11258&fecha=16/01/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11256,15/01/2024,2024,Parte de la reunión del 15/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11256&fecha=15/01/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11255,11/01/2024,2024,Parte de la reunión del 11/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11255&fecha=11/01/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11254,10/01/2024,2024,Parte de la reunión del 10/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11254&fecha=10/01/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11253,09/01/2024,2024,Parte de la reunión del 09/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11253&fecha=09/01/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11250,04/01/2024,2024,Parte de la reunión del 04/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11250&fecha=04/01/2024,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11678,19/03/2025,2025,Parte de la reunión del 19/03/2025,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11678&fecha=19/03/2025,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11677,19/03/2025,2025,Parte de la reunión del 19/03/2025,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11677&fecha=19/03/2025,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11675,18/03/2025,2025,Parte de la reunión del 18/03/2025,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11675&fecha=18/03/2025,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11676,18/03/2025,2025,Parte de la reunión del 18/03/2025,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11676&fecha=18/03/2025,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11663,05/02/2025,2025,Parte de la reunión del 05/02/2025,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11663&fecha=05/02/2025,2025-04-16
ASUNTOS CONSTITUCIONALES,caconstitucionales,11662,04/02/2025,2025,Parte de la reunión del 04/02/2025,https://www.hcdn.gob.ar/comisiones/permanentes/caconstitucionales/reuniones/parte.html?id_reunion=11662&fecha=04/02/2025,2025-04-16
LEGISLACION GENERAL,clgeneral,11044,30/11/2022,2022,Parte de la reunión del 30/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11044&fecha=30/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,11036,30/11/2022,2022,Parte de la reunión del 30/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11036&fecha=30/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,11038,30/11/2022,2022,Parte de la reunión del 30/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11038&fecha=30/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,11040,30/11/2022,2022,Parte de la reunión del 30/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11040&fecha=30/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,11029,23/11/2022,2022,Parte de la reunión del 23/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11029&fecha=23/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10990,08/11/2022,2022,Parte de la reunión del 08/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10990&fecha=08/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10989,08/11/2022,2022,Parte de la reunión del 08/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10989&fecha=08/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10991,08/11/2022,2022,Parte de la reunión del 08/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10991&fecha=08/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10996,08/11/2022,2022,Parte de la reunión del 08/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10996&fecha=08/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,11002,08/11/2022,2022,Parte de la reunión del 08/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11002&fecha=08/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10988,08/11/2022,2022,Parte de la reunión del 08/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10988&fecha=08/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,11004,08/11/2022,2022,Parte de la reunión del 08/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11004&fecha=08/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,11003,08/11/2022,2022,Parte de la reunión del 08/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11003&fecha=08/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10972,02/11/2022,2022,Parte de la reunión del 02/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10972&fecha=02/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10973,02/11/2022,2022,Parte de la reunión del 02/11/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10973&fecha=02/11/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10941,28/09/2022,2022,Parte de la reunión del 28/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10941&fecha=28/09/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10929,28/09/2022,2022,Parte de la reunión del 28/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10929&fecha=28/09/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10930,28/09/2022,2022,Parte de la reunión del 28/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10930&fecha=28/09/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10932,28/09/2022,2022,Parte de la reunión del 28/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10932&fecha=28/09/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10917,21/09/2022,2022,Parte de la reunión del 21/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10917&fecha=21/09/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10922,21/09/2022,2022,Parte de la reunión del 21/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10922&fecha=21/09/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10918,21/09/2022,2022,Parte de la reunión del 21/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10918&fecha=21/09/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10905,13/09/2022,2022,Parte de la reunión del 13/09/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10905&fecha=13/09/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10895,30/08/2022,2022,Parte de la reunión del 30/08/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10895&fecha=30/08/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10894,30/08/2022,2022,Parte de la reunión del 30/08/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10894&fecha=30/08/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10877,24/08/2022,2022,Parte de la reunión del 24/08/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10877&fecha=24/08/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10867,17/08/2022,2022,Parte de la reunión del 17/08/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10867&fecha=17/08/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10860,17/08/2022,2022,Parte de la reunión del 17/08/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10860&fecha=17/08/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10861,16/08/2022,2022,Parte de la reunión del 16/08/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10861&fecha=16/08/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10859,12/08/2022,2022,Parte de la reunión del 12/08/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10859&fecha=12/08/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10852,10/08/2022,2022,Parte de la reunión del 10/08/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10852&fecha=10/08/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10844,04/07/2022,2022,Parte de la reunión del 04/07/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10844&fecha=04/07/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10828,22/06/2022,2022,Parte de la reunión del 22/06/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10828&fecha=22/06/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10812,07/06/2022,2022,Parte de la reunión del 07/06/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10812&fecha=07/06/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10799,01/06/2022,2022,Parte de la reunión del 01/06/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10799&fecha=01/06/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10784,24/05/2022,2022,Parte de la reunión del 24/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10784&fecha=24/05/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10767,11/05/2022,2022,Parte de la reunión del 11/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10767&fecha=11/05/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10736,03/05/2022,2022,Parte de la reunión del 03/05/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10736&fecha=03/05/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10723,26/04/2022,2022,Parte de la reunión del 26/04/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10723&fecha=26/04/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10722,19/04/2022,2022,Parte de la reunión del 19/04/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10722&fecha=19/04/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10721,12/04/2022,2022,Parte de la reunión del 12/04/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10721&fecha=12/04/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10719,05/04/2022,2022,Parte de la reunión del 05/04/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10719&fecha=05/04/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,10720,05/04/2022,2022,Parte de la reunión del 05/04/2022,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=10720&fecha=05/04/2022,2025-04-16
LEGISLACION GENERAL,clgeneral,11226,04/10/2023,2023,Parte de la reunión del 04/10/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11226&fecha=04/10/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11206,13/09/2023,2023,Parte de la reunión del 13/09/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11206&fecha=13/09/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11202,06/09/2023,2023,Parte de la reunión del 06/09/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11202&fecha=06/09/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11201,05/09/2023,2023,Parte de la reunión del 05/09/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11201&fecha=05/09/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11191,22/08/2023,2023,Parte de la reunión del 22/08/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11191&fecha=22/08/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11184,02/08/2023,2023,Parte de la reunión del 02/08/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11184&fecha=02/08/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11170,04/07/2023,2023,Parte de la reunión del 04/07/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11170&fecha=04/07/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11171,04/07/2023,2023,Parte de la reunión del 04/07/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11171&fecha=04/07/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11162,07/06/2023,2023,Parte de la reunión del 07/06/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11162&fecha=07/06/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11152,07/06/2023,2023,Parte de la reunión del 07/06/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11152&fecha=07/06/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11151,07/06/2023,2023,Parte de la reunión del 07/06/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11151&fecha=07/06/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11118,27/04/2023,2023,Parte de la reunión del 27/04/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11118&fecha=27/04/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11110,18/04/2023,2023,Parte de la reunión del 18/04/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11110&fecha=18/04/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11052,25/01/2023,2023,Parte de la reunión del 25/01/2023,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11052&fecha=25/01/2023,2025-04-16
LEGISLACION GENERAL,clgeneral,11552,24/09/2024,2024,Parte de la reunión del 24/09/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11552&fecha=24/09/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11545,18/09/2024,2024,Parte de la reunión del 18/09/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11545&fecha=18/09/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11410,25/06/2024,2024,Parte de la reunión del 25/06/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11410&fecha=25/06/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11318,25/04/2024,2024,Parte de la reunión del 25/04/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11318&fecha=25/04/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11320,25/04/2024,2024,Parte de la reunión del 25/04/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11320&fecha=25/04/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11259,23/01/2024,2024,Parte de la reunión del 23/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11259&fecha=23/01/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11257,17/01/2024,2024,Parte de la reunión del 17/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11257&fecha=17/01/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11258,16/01/2024,2024,Parte de la reunión del 16/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11258&fecha=16/01/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11256,15/01/2024,2024,Parte de la reunión del 15/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11256&fecha=15/01/2024,2025-04-16
LEGISLACION GENERAL,clgeneral,11255,11/01/2024,2024,Parte de la reunión del 11/01/2024,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/reuniones/parte.html?id_reunion=11255&fecha=11/01/2024,2025-04-16
